_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,not_sure_about_factual_correctness,select_the_answer_that_answers_the_question_best,dbpedia,id,linkedmdb,musicbrainz,not_sure_about_factual_correctness_gold,question,select_the_answer_that_answers_the_question_best_gold,wikidata,yago
2341495147,6/19/2019 12:18:28,false,4906752649,,6/19/2019 12:10:19,false,neodev,0.9423,44243796,COL,"","",181.234.124.182,,yg,"Londres, Ciudad de Westminster",215,,,,¿Donde están situadas las Casas del Parlamento?,,Ciudad de Westminster,"Reino Unido, Londres, Inglaterra, Gran Londres, Ciudad de Westminster"
2341495147,6/19/2019 12:21:10,false,4906755771,,6/19/2019 12:09:41,false,neodev,0.9446,44248432,VEN,25,Caracas,186.167.248.252,,yg,"Londres, Ciudad de Westminster",215,,,,¿Donde están situadas las Casas del Parlamento?,,Ciudad de Westminster,"Reino Unido, Londres, Inglaterra, Gran Londres, Ciudad de Westminster"
2341495147,6/19/2019 12:44:34,false,4906785740,,6/19/2019 12:40:33,false,neodev,1.0,44085215,VEN,"","",190.206.246.67,,db,"Londres, Ciudad de Westminster",215,,,,¿Donde están situadas las Casas del Parlamento?,,Ciudad de Westminster,"Reino Unido, Londres, Inglaterra, Gran Londres, Ciudad de Westminster"
2341495148,6/19/2019 12:12:39,false,4906746441,,6/19/2019 12:10:54,false,neodev,0.9681,39759810,VEN,07,Valencia,190.206.125.167,,yg,"Cotton Club (película), El padrino (película), The Godfather Part II, The Godfather Part III, Tucker: un hombre y su sueño, Drácula, de Bram Stoker, La conversación, Trilogía de El padrino, The Godfather Saga, The Rainmaker (película), La ley de la calle (película), Tetro, Twixt, Dementia 13, Gardens of Stone, Jack (película), Historias de Nueva York, One from the Heart, Peggy Sue Got Married (película), The Outsiders (película), El terror, Youth Without Youth",213,"The Godfather Part III, The Rainmaker, The Cotton Club, Bram Stoker's Dracula, Jack, You're a Big Boy Now, The Outsiders, Apocalypse Now Redux, The Terror, Tetro, Tucker: The Man and His Dream, Supernova, Apocalypse Now, The Conversation, The Godfather Part II, Rumble Fish, New York Stories, The Godfather Saga, The Godfather, One from the Heart, Dementia 13, The Rain People, Youth Without Youth, Gardens of Stone, The Bellboy and the Playgirls, Peggy Sue Got Married, Finian's Rainbow, Captain EO",,,Dame todas las películas que haya dirigido Francis Ford Coppola.,,"El padrino, Apocalypse Now, The Godfather Part II, The Godfather Part III, Youth Without Youth, Cotton Club, The Rainmaker, La ley de la calle, Dementia 13, Gardens of Stone, One from the Heart, Tucker: un hombre y su sueño, Jack, Supernova, El terror, Tetro, Twixt, Battle Beyond the Sun, Peggy Sue Got Married, Historias de Nueva York, La conversación, The Outsiders","El padrino, El padrino (película), El padrino (pelicula), Apocalypse Now, Patton, Patton (película), Patton (pelicula), The Rainmaker, The Rainmaker (película), The Rainmaker (pelicula), Trilogía de El padrino, Trilogia de El padrino, La conversación, La conversacion, Drácula, Drácula, de Bram Stoker, Dracula, de Bram Stoker, La ley de la calle, La ley de la calle (pelicula), La ley de la calle (película), Cotton Club, Cotton Club (película), Cotton Club (pelicula), Peggy Sue Got Married, Peggy Sue Got Married (película), Peggy Sue Got Married (pelicula), The Godfather Part III, The Godfather Part II, Captain EO, The Outsiders, The Outsiders (película), The Outsiders (pelicula), Jack, Jack (pelicula), Jack (película), Gardens of Stone, Supernova, Supernova (película de 2000), Supernova (pelicula de 2000), Youth Without Youth, Dementia 13, Historias de Nueva York, El terror, One from the Heart, Twixt, The Godfather Saga, Tetro"
2341495148,6/19/2019 12:13:12,false,4906746994,,6/19/2019 12:10:45,false,feca,1,45160350,MEX,21,Puebla,189.165.220.82,,yg,"Cotton Club (película), El padrino (película), The Godfather Part II, The Godfather Part III, Tucker: un hombre y su sueño, Drácula, de Bram Stoker, La conversación, Trilogía de El padrino, The Godfather Saga, The Rainmaker (película), La ley de la calle (película), Tetro, Twixt, Dementia 13, Gardens of Stone, Jack (película), Historias de Nueva York, One from the Heart, Peggy Sue Got Married (película), The Outsiders (película), El terror, Youth Without Youth",213,"The Godfather Part III, The Rainmaker, The Cotton Club, Bram Stoker's Dracula, Jack, You're a Big Boy Now, The Outsiders, Apocalypse Now Redux, The Terror, Tetro, Tucker: The Man and His Dream, Supernova, Apocalypse Now, The Conversation, The Godfather Part II, Rumble Fish, New York Stories, The Godfather Saga, The Godfather, One from the Heart, Dementia 13, The Rain People, Youth Without Youth, Gardens of Stone, The Bellboy and the Playgirls, Peggy Sue Got Married, Finian's Rainbow, Captain EO",,,Dame todas las películas que haya dirigido Francis Ford Coppola.,,"El padrino, Apocalypse Now, The Godfather Part II, The Godfather Part III, Youth Without Youth, Cotton Club, The Rainmaker, La ley de la calle, Dementia 13, Gardens of Stone, One from the Heart, Tucker: un hombre y su sueño, Jack, Supernova, El terror, Tetro, Twixt, Battle Beyond the Sun, Peggy Sue Got Married, Historias de Nueva York, La conversación, The Outsiders","El padrino, El padrino (película), El padrino (pelicula), Apocalypse Now, Patton, Patton (película), Patton (pelicula), The Rainmaker, The Rainmaker (película), The Rainmaker (pelicula), Trilogía de El padrino, Trilogia de El padrino, La conversación, La conversacion, Drácula, Drácula, de Bram Stoker, Dracula, de Bram Stoker, La ley de la calle, La ley de la calle (pelicula), La ley de la calle (película), Cotton Club, Cotton Club (película), Cotton Club (pelicula), Peggy Sue Got Married, Peggy Sue Got Married (película), Peggy Sue Got Married (pelicula), The Godfather Part III, The Godfather Part II, Captain EO, The Outsiders, The Outsiders (película), The Outsiders (pelicula), Jack, Jack (pelicula), Jack (película), Gardens of Stone, Supernova, Supernova (película de 2000), Supernova (pelicula de 2000), Youth Without Youth, Dementia 13, Historias de Nueva York, El terror, One from the Heart, Twixt, The Godfather Saga, Tetro"
2341495148,6/19/2019 12:17:49,false,4906751940,,6/19/2019 12:11:02,false,neodev,0.9374,44315353,VEN,25,Caracas,186.167.242.254,,yg,"Cotton Club (película), El padrino (película), The Godfather Part II, The Godfather Part III, Tucker: un hombre y su sueño, Drácula, de Bram Stoker, La conversación, Trilogía de El padrino, The Godfather Saga, The Rainmaker (película), La ley de la calle (película), Tetro, Twixt, Dementia 13, Gardens of Stone, Jack (película), Historias de Nueva York, One from the Heart, Peggy Sue Got Married (película), The Outsiders (película), El terror, Youth Without Youth",213,"The Godfather Part III, The Rainmaker, The Cotton Club, Bram Stoker's Dracula, Jack, You're a Big Boy Now, The Outsiders, Apocalypse Now Redux, The Terror, Tetro, Tucker: The Man and His Dream, Supernova, Apocalypse Now, The Conversation, The Godfather Part II, Rumble Fish, New York Stories, The Godfather Saga, The Godfather, One from the Heart, Dementia 13, The Rain People, Youth Without Youth, Gardens of Stone, The Bellboy and the Playgirls, Peggy Sue Got Married, Finian's Rainbow, Captain EO",,,Dame todas las películas que haya dirigido Francis Ford Coppola.,,"El padrino, Apocalypse Now, The Godfather Part II, The Godfather Part III, Youth Without Youth, Cotton Club, The Rainmaker, La ley de la calle, Dementia 13, Gardens of Stone, One from the Heart, Tucker: un hombre y su sueño, Jack, Supernova, El terror, Tetro, Twixt, Battle Beyond the Sun, Peggy Sue Got Married, Historias de Nueva York, La conversación, The Outsiders","El padrino, El padrino (película), El padrino (pelicula), Apocalypse Now, Patton, Patton (película), Patton (pelicula), The Rainmaker, The Rainmaker (película), The Rainmaker (pelicula), Trilogía de El padrino, Trilogia de El padrino, La conversación, La conversacion, Drácula, Drácula, de Bram Stoker, Dracula, de Bram Stoker, La ley de la calle, La ley de la calle (pelicula), La ley de la calle (película), Cotton Club, Cotton Club (película), Cotton Club (pelicula), Peggy Sue Got Married, Peggy Sue Got Married (película), Peggy Sue Got Married (pelicula), The Godfather Part III, The Godfather Part II, Captain EO, The Outsiders, The Outsiders (película), The Outsiders (pelicula), Jack, Jack (pelicula), Jack (película), Gardens of Stone, Supernova, Supernova (película de 2000), Supernova (pelicula de 2000), Youth Without Youth, Dementia 13, Historias de Nueva York, El terror, One from the Heart, Twixt, The Godfather Saga, Tetro"
2341495149,6/19/2019 12:27:50,false,4906763468,,6/19/2019 12:24:47,false,neodev,0.9466,36454161,PER,"","",190.43.1.252,,"wd
db","Bill Finger, Bob Kane",210,,,,¿Quién creó Batman?,,"Bob Kane, Bill Finger",Pat Hingle
2341495149,6/19/2019 12:33:00,false,4906769208,,6/19/2019 12:23:35,false,clixsense,0.9508,38543737,VEN,"","",201.209.183.133,,"wd
db","Bill Finger, Bob Kane",210,,,,¿Quién creó Batman?,,"Bob Kane, Bill Finger",Pat Hingle
2341495149,6/19/2019 12:58:16,false,4906806053,,6/19/2019 12:53:12,false,neodev,0.9202,44089933,VEN,"","",190.204.174.198,,"wd
db","Bill Finger, Bob Kane",210,,,,¿Quién creó Batman?,,"Bob Kane, Bill Finger",Pat Hingle
2341495150,6/19/2019 12:29:17,false,4906764980,,6/19/2019 12:28:26,false,neodev,0.9041,33629890,ESP,56,Barcelona,85.55.233.68,not_sure_about_factual_correctness,"yg
db
linked",Andy Lau,133,Vivek (Actor),,,¿Qué actor ha actuado en el mayor número de películas?,,,Prem Nazir
